corp_code,corp_name,ticker,market,is_listed,bizr_no,jurir_no,corp_cls,extracted_at
00252658,코리언일랙트로닉스파워소스,046810,,False,2168100695,1101110389620,E,2026-03-14
00252755,씨앤케이인터내셔널,039530,,False,2118606874,1101110676811,E,2026-03-14
00253514,한신코퍼레이션,037120,,False,2208100224,1101110877394,E,2026-03-14
00253985,국보디자인,066620,KOSDAQ,True,1028122615,1101110564066,K,2026-03-14
00254009,지디코프,036610,,False,1058187581,1101111430117,E,2026-03-14
00254045,우리은행,000030,,False,2018102819,1101110023393,E,2026-03-14
00255044,현대에이치티,039010,KOSDAQ,True,2208151999,1101111539597,K,2026-03-14
00255071,현대에이치씨엔동작방송,034750,,False,1188111092,1101110594097,E,2026-03-14
00255105,케이바이오,038530,KOSDAQ,True,2208145629,1101111430498,K,2026-03-14
00255141,글로앤웰,035480,,False,2208151330,1101111535272,E,2026-03-14
00255266,쓰리알,037730,,False,1248146621,1348110027567,E,2026-03-14
00255275,HB테크놀러지,078150,KOSDAQ,True,1298123356,1311110030335,K,2026-03-14
00255309,써니트렌드,035500,,False,2118608741,1101110926620,E,2026-03-14
00255433,라온시큐어,042510,KOSDAQ,True,1388116484,1353110002964,K,2026-03-14
00255619,강원랜드,035250,KOSPI,True,2258110770,1449110001666,Y,2026-03-14
00255840,태산엘시디,036210,,False,1298114425,1101110342404,E,2026-03-14
00256043,비씨월드제약,200780,KOSDAQ,True,1398111269,1243110005515,K,2026-03-14
00256292,자강,036790,,False,2138626745,1101111303728,E,2026-03-14
00256380,유아이엘,049520,KOSDAQ,True,1118118357,1101110320955,K,2026-03-14
00256502,에이텍,045660,KOSDAQ,True,2148156422,1101110954374,K,2026-03-14
00256715,국순당,043650,KOSDAQ,True,1248114925,2013110001155,K,2026-03-14
00256955,테이팩스,055490,KOSPI,True,1398115931,1201110095499,Y,2026-03-14
00257051,유씨아이콜스,065810,,False,2118626958,1101111501249,E,2026-03-14
00257149,지더블유바이텍,036180,KOSDAQ,True,5028128269,1701110074493,K,2026-03-14
00257194,블루스톤디앤아이,033720,,False,1208151379,1101110850382,E,2026-03-14
00257361,월드텔레콤,047610,,False,3158119642,1501110023197,E,2026-03-14
00257529,이루넷,041030,,False,1208152062,1101110838528,E,2026-03-14
00257732,한국정밀기계,101680,KOSDAQ,True,6088131228,1943110006189,K,2026-03-14
00258102,지엔코,065060,KOSDAQ,True,2208145177,1101111421257,K,2026-03-14
00258360,위지트,036090,KOSDAQ,True,1058185147,1101111373755,K,2026-03-14
00258421,기산텔레콤,035460,KOSDAQ,True,1208166080,1101111073454,K,2026-03-14
00258689,JYP Ent.,035900,KOSDAQ,True,2298109576,1101111264764,K,2026-03-14
00258731,현대멀티캡,035910,,False,1298124980,1311110033264,E,2026-03-14
00258801,카카오,035720,KOSPI,True,1208147521,1101111129497,Y,2026-03-14
00258944,세계투어,047600,,False,2118601544,1101111022162,E,2026-03-14
00259439,지아이바이오,035450,,False,1178119975,1101111443798,E,2026-03-14
00259493,씨엘엘씨디,035710,,False,2118642297,1101111053935,E,2026-03-14
00259536,네스테크,037540,,False,1058150798,1101110728381,E,2026-03-14
00259545,엠에스오토텍,123040,KOSDAQ,True,5058105299,1712110005114,K,2026-03-14
00259590,바른손이앤에이,035620,KOSDAQ,True,2208141526,1101111354961,K,2026-03-14
00259606,플러스프로핏,036660,,False,2208122913,1101110644850,E,2026-03-14
00259855,코아정보시스템,039990,,False,1208120139,1101110736251,E,2026-03-14
00259916,그로웰텔레콤,035780,,False,1318114597,1101110416530,E,2026-03-14
00259934,예림당,036000,KOSDAQ,True,1078150227,1101110611693,K,2026-03-14
00260356,산은캐피탈,008270,,False,2028150051,1101110137558,E,2026-03-14
00260383,대한유화,006650,KOSPI,True,1048106794,1101110024698,Y,2026-03-14
00260392,대원전선,006340,KOSPI,True,1248105047,1348110001181,Y,2026-03-14
00260408,팜스코,036580,KOSPI,True,1298130202,1311110042950,Y,2026-03-14
00260569,유니셈,036200,KOSDAQ,True,1248142101,1348110024878,K,2026-03-14
00260611,웰킵스하이텍,043590,KOSDAQ,True,3038107177,1101110171168,K,2026-03-14
00260639,대흥멀티미디어통신,037250,,False,2088110173,1101110434798,E,2026-03-14
00260657,오상헬스케어,036220,KOSDAQ,True,2298102291,1101111265697,K,2026-03-14
